,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260415_miyawaki_ph_03_2,26041985CPVC1N,2026/4/20,メルカリ,"¥6,795 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/4/19,shopee,"₱4,559.00"
20260324_machida_ph_01,26041992DVFC55,2026/4/20,Joshin,"¥8,410 ",ラジコン,Authentic Tamiya Unisex 1/10 Electric RC Car Series No.628 Racing Fighter (DT-03 Chassis) Off-Road,,新品,,Amazon Photos,2026/03/24,2026/4/20,shopee,"₱5,761.00"
20260330_machida_ph_01,260420A1E9TSMU,2026/4/20,Amazon,"¥3,200 ",プラモデル,【Directly from Japan】 TAMIYA 1/35 Military Miniature Series No. 362 French Main Battle Tank Leclerc Series 2 Plastic Model 35362 (Tank),,新品,,Amazon Photos,2026/03/30,2026/4/20,shopee,"₱2,226.00"
20260409_machida_ph_01_3,260420A4EQ1PRR,2026/4/20,yahooショッピング,"¥11,000 ",ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,,新品,,Amazon Photos,2026/04/09,2026/4/20,shopee,"₱5,638.00"
20260316_machida_ph_03,260420A65967MV,2026/3/30,Amazon,"¥7,255 ",プラモデル,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,,新品,,Amazon Photos,2026/03/16,2026/4/20,shopee,"₱4,085.00"
 20260413_machida_ph_01,260420AUDNJSB5,2026/4/21,Amazon,"¥10,979 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,,新品,,Amazon Photos,2026/04/13,2026/4/20,shopee,"₱6,656.00"
20260417_miyawaki_ph_04,260420BBMKWXP1,,,仕入れ無,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,,2026/4/20,shopee,"₱8,569.00"
20260417_miyawaki_ph_04,260420BDMV1DF6,2026/4/21,yahooフリマ,"¥12,700 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/4/20,shopee,"₱8,569.00"
20260119_machida_ph_03,260421D9XXTW7F,2026/4/22,Amazon,"¥20,800 ",掛け時計,"Seiko Wall Clock – Musical Motion Clock, Radio-Controlled RE576A (Analog / Triple-Selection Melody / Rotating Ornaments / Ivory Marble",,新品,,Amazon Photos,2026/01/19,2026/4/21,shopee,"₱9,893.00"
20260123_machida_ph_02,260421D9XXTW7F,2026/4/22,Amazon,"¥22,000 ",掛け時計,Seiko Clock Wall Clock Quartz Clock Mechanical Clock Analog Triple Selection Melody Silver 443×405×97mm RE602S,,新品,,Amazon Photos,2026/01/23,2026/4/21,shopee,"₱11,350.00"
20260408_mizushima_ph_05,260421DCVQ349X,2026/4/22,楽天市場（サンネット商店）,"¥6,980 ",フィギュア,"MIC DiGiSM One and Only ""SLAM DUNK"" Takenori Akagi, approximately 170mm tall, non-scale, PVC + ABS painted finished figure.",,新品,,Amazon Photos,2026/04/08,2026/4/21,shopee,"₱3,442.00"
20260410_miyawaki_ph_01_3,260421DKC6JCAQ,2026/4/23,メルカリ,"¥7,400 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,2026/04/10,2026/4/21,shopee,"₱4,823.00"
20260303_miyawaki_ph_02,260421DKUPFR4G,2026/4/24,らしんばん,"¥6,690 ",フィギュア,Ichiban Kuji JoJo's Bizarre Adventure -THE★JOJO WORLD Jolyne Cujoh Prize F Anime Figure,,新品,,Amazon Photos,2026/03/03,2026/4/21,shopee,"₱4,093.00"
 20260422_machida_ph_03,260422F86UHJPT,2026/4/22,yahooショッピング,"¥3,156 ",ラジコン,"[Direct From Japan] Wild Willy 2, WR-02 Dual Hunter and other A-parts, 10005713",,新品,,Amazon Photos,2026/04/22,2026/4/22,shopee,"₱2,466.00"
20260417_miyawaki_ph_04_2,260422FJ1YQV6S,2026/4/23,yahooフリマ,"¥13,300 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/4/22,shopee,"₱8,569.00"
20260219_machida_sg_06,260422G5BCYJD6,2026/4/23,ビックカメラ,"¥5,420 ",腕時計,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,,新品,,Amazon Photos,2026/02/19,2026/4/22,shopee,SGD85.50
20260410_miyawaki_ph_01_4,260423J1N1F14B,2026/4/23,ラクマ,"¥7,030 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,2026/04/10,2026/4/23,shopee,"₱4,823.00"
20260410_miyawaki_ph_01_5,260423JH85NP7A,2026/4/24,メルカリ,"¥7,611 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,2026/04/10,2026/4/23,shopee,"₱4,823.00"
20260402_miyawaki_ph_01,260423JHB23QF1,2026/4/24,yahooフリマ,¥713 ,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZED Prize C Figure,,新品,,Amazon Photos,2026/04/02,2026/4/23,shopee,"₱2,318.00"
20260417_miyawaki_ph_04_3,260423JPCH3VD9,2026/4/24,yahooフリマ,"¥13,400 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/4/23,shopee,"₱8,569.00"
20260123_machida_ph_04_4,260424M1FJJ92V,2026/4/24,Amazon,"¥11,000 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/4/24,shopee,"₱7,234.00"
20260417_miyawaki_ph_04_4,260424MCCJ0HH0,2026/4/24,yahooフリマ,"¥12,900 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/4/24,shopee,"₱8,569.00"
